abajur	lamp shade	абажур
silgi	eraser	стирательная резинка
şişman	fat	
site	comlex; compound	
siyah	black	черный
siz	you (mult and polite)	
sınıf	class	учебный класс
sıra	desk	парта
sırada	next	
sırt çantası	backpack	рюкзак
şışe	bottle	бутылка
sokak	street	
sonbahar	Autumn	осень
sonu	end	конец
sonuncu	last	
soru	question	вопрос
sorun	problem	проблема
soyad	surname	фамилия
soyadim	my surname	моя фамилия
soyadin	your surname	твоя фамилия
şubat	February	февраль
Sudan	Sudan	Судан
şunlar	those	те
Suriye	Syria	Сирия
tahta	blackboard	доска (классная)
taksi	taxi	такси
takvim	calendar	календарь
Tanişma	meet	встреча
tanıştığımıza	to meet	встретиться
tarihi	date	дата
tekrar	repeat	повторить
temiz	clean	чистый
temmuz	July	июль
terlik	slipper	тапок
tezgâh	counter, working surface	рабочая поверхность, столешница
tezgahtar	clerk	
tilki	fox	лиса
top	ball	мяч
toplama	addition	сложение  (матем)
Türkiye	Turkey	Турция
turuncu	orange	оранжевый
uçak	airplane	самолет
üçüncü	third	
uçurtma	kite	воздушный змей
ülke	country	
ünlü	vowel	гласный
ünsüz	consonant	согласный
Ürdün	Jordan	Иордания
ütü	iron	утюг
uzak	far	далеко
üzüm	grape	виноград
valiz	suitcase	чемодан
vazo	vase	ваза
vida	screw	винт
yakın	near	рядом
yanliş	false	
yaşın	age	возраст
yaşında	years old	
yastık	pillow	подушка
yatak	bed	кровать
yatak odasi	bedroom	спальня
yaz	summer	лето
yazalım	let's wtire	
yazma	writing	
yedinci	seventh	
yemek	food	еда
yemek odasi	dining room	столовая (комната)
yer	place	
yeşil	green	зеленый
yik	destroy	разрушать
yil	year	год
yilan	snake	змея
yirminci	twentieth	
yoğun	busy; intentse	
yok	no; none	нет
yorgun	tired	
yuğurt	yogurt	йогурт
yüklemi	predicate	
yüklemi isim	predicate noun	
yumurta	egg	яйцо
yumuşak	soft	мягкий
yüz	face	лицо
yüzük	a ring (jewler)	
zayıf	weak	
zebra	zebra	зебра
zeytin	olive	оливка
zürafa	giraffe	жираф
